title,country,location,date,sector,contract_type,exp,study_level,job_description
Chargé de Programmation Musicale (F/H),Maroc,Rabat,20/09/2021,Audiovisuel,CDI,De 3 à 5 ans,Bac +3,"Level of education min. required: Baccalaureate +3 +5 Level of experience min. required: 2 years of experience in a similar position Profile required: Very good knowledge of the media, including Radio Excellent musical culture Mastery of programming and dissemination software Knowledge of Moroccan copyright Good understanding of technical aspects (dissemination, programming, production, production) Autonomy and creativity"
Responsable Technique Radiodiffusion,Maroc,Rabat,20/09/2021,Audiovisuel,Autre,De 3 à 5 ans,Bac +5 et plus,"Level of education min. required Bac +5 : Master 2, DEA, DESS, engineer in systems administration and networks with solid knowledge in broadcasting Level of experience min. required: 3 to 5 years Profile required: Perfect mastery of computer security tools (Watchguard, PFSENSE) Perfect mastery of business software (WINMEDIA, NEOWINNER, GSELECTOR) Perfect mastery of telemetry and telemaintenance software VSAT/FH transmission engineering and FM broadcasting Confirmed technical competence in the field of radiocommunication and broadcasting Perfect mastery of electronics Master's degree in English Sense of organisation, rigor and team management Reactivity and availability"
Stagiaire Documentaliste Multimédia (F/H),Maroc,Rabat,20/09/2021,Audiovisuel,Stage,Débutant,Bac +3,Level of education min. required: Bac+2 +3 with a specialization in database and multimedia Level of experience min. required: Beginner Profile required: Multimedia knowledge Audio-visual knowledge Knowledge of database management Sense of organization
Producteur Audio (F/H),Maroc,Rabat,20/09/2021,Audiovisuel,Autre,De 1 à 3 ans,Bac +2,"Level of education min. required: Diploma in Audiovisual, BTS degree in audiovisual master's degree or specific training in audio production Level of experience min. required: 2 years of experience as an audio producer Profile required: Strong interest in music and the media; Masters production, editing and dissemination software (including Adobe audition and pro tools) Very good musical culture Creativity and strength of proposal Organization and stress resistance"
Assistante Commerciale H/F,Maroc,Casablanca,20/09/2021,Edition / Imprimerie,CDI,De 1 à 3 ans,Bac +2,"As a commercial assistant H F, you must: To hold a minimum Bac+2 Have a minimum of 2 years experience in a similar position Mastering the desktop tool (Word, Excel...) Having a good communication in French"
Gestionnaire d’Internat (H/F),Maroc,Tout le Maroc,20/09/2021,Tourisme / Voyage / Loisirs ,CDI,De 3 à 5 ans,Bac +2,"Profile required: External applicants: OFPPT Agents: Candidature file: External applicants: OFPPT Agents: Terms and conditions for submitting applications: 1. Register and apply for the offer on the website: http: recruitment.ofppt.ma; 2. Scan documents in PDF format and send them to: http: recrutement.ofppt.ma  Deadline for receipt of applications is September 30, 2021 at midnight.  Date and place of competition: Candidates pre-selected on file will be invited for evaluation tests, the dates and locations of which will be indicated at a later stage. Assignment: Successful candidates will be assigned according to need and order of merit. To hold a specialized technician degree, or equivalent, in the field of Management or Hotel/Tourism/Restauration (Diploma giving access to the civil service scale 9); Have accumulated professional experience of at least 4 years, including at least 2 years in the management of reception, accommodation and/or reception operations; Having an experience in the field of residential or hotel management/tourism/Restauration is an asset; Be less than 40 years of age on the date of entry into service; Be of Moroccan nationality. To hold a specialized technician degree, or equivalent, in the field of Management or Hotel/Tourism/Restauration (Diploma giving access to the civil service scale 9); Have accumulated professional experience of at least 4 years including at least 2 years in the field the management of reception, accommodation and/or reception operations; Having an experience in the field of residential management or hotel/tourism/restauration is an asset. Application form (F1) to be completed, downloadable from www.ofppt.ma; Updated and detailed CV of work experience related to the position; Legalized copy of the required diploma (diploma issued by foreign institutions must be accompanied by copies of certificates of equivalence); Legalized copy of the CNI (Recto-verso). Application form (F2) to be filled in, downloadable from www.ofppt.ma; CV updated and detailing work experience related to the position"
Agent Administratif en Interim,Maroc,Tetouan,20/09/2021,Automobile / Motos / Cycles,Autre,De 3 à 5 ans,Bac +2,"Bac +2 3 in management or equivalent, you justify more than one year of experience in the same position. Better lives near Tetouan Shore. The proposed post is on an acting contract. Current French; Mastery of the IT tool in particular EXCEL; Relationship relationship; Rigueur Dynamism and team spirit Having a Permit B."
Ingénieur d'étude et développement,Technopolis,Salé,20/09/2021,Informatique,CDI,Moins de 1 an,Bac +5 et plus,"Bac+5 in software engineering from a large engineering school or equivalent. you have an initial experience in a similar position. Knowledge of: Knowledge of Angular JS would be an asset C#.NET, ASP.NET Core, MVC, WCF Visual studio 2019 Entity framework JavaScript JQuery Bootsrap HTML, CSS VSS/ TFS SQL Server M2 agile method/ Scrum Git"
Développeur Java Sénior,Maroc,Casablanca,20/09/2021,Conseil / Etudes,CDI,De 5 à 10 ans,Bac +3,"Bac+3 5 training, with a minimum experience of 5 years. Technical Skills : Java, Maven, Vue.js, SQL, Jenkins Docker, Linux CLI, Spring, KAFKA Good communication. Technology Watch Self-reliance and initiative"
Responsable de Formation Continue - Ecole Mohammed VI pour la formation dans les métiers du BTP,Maroc,Settat,20/09/2021,Enseignement / Formation,CDI,De 5 à 10 ans,Bac +5 et plus,"Behavioural skills: Profile required: External applicants OFPPT Agents Or Candidature file: How to submit an application: Register and Apply by sending the application file in PDF format to the offer on the website: http: recruitment.ofppt.ma; Deadline for receipt of applications is September 30, 2021 at midnight. N.B: Any file transmitted via a channel other than that mentioned above will not be considered. Date and place of competition: Candidates pre-selected on file will be invited for evaluation tests, the dates and locations of which will be indicated at a later stage. Assignment: Mohammed VI School for Training in the Trades of the BTP Settat Personal values corresponding to the values of the institution; Listening, available and adapting; Be very rigorous and precise; Solving problems of different kinds; Managing priorities; To be both firm and diplomatic; Be able to negotiate and argue; To hold an engineering degree, or equivalent, (Diploma giving access to scale 11 of the Public Service); To justify a professional experience of at least 5 successful years as a technical-commercial or in a similar position ideally in the field of training; The mastery of English is indispensable; Be less than 45 years of age on the date of entry into service; Be of Moroccan nationality. Be classified on a lower scale than that provided for in this recruitment; To hold an engineering degree, or equivalent, (Diploma giving access to scale 11 of the Public Service); To justify a professional experience of at least 4 years as a technician or in a similar position ideally in the field of training;   The mastery of English is indispensable; Be a incumbent agent and classified at a minimum of 16 with at least 4 years of effective service in Category C. The mastery of English is indispensable Application form (F1) for information (PDF format), downloadable from www.ofppt.ma; CV updated and detailing work experience related to the position (PDF format); Copy of the required diploma (diploma issued by foreign institutions must be accompanied by copies of certificates of equivalence); Copy of the INC (Recto-verso);"
Senior Data Engineer spécialise Google Cloud GCP/DevOps/Big Data (Casablanca),Maroc,casablanca,20/09/2021,Informatique,CDI,De 5 à 10 ans,Bac +5 et plus,"Senior Data Engineer specializes in Google Cloud GCP DevOps Big Data (Casablanca) You contribute to very innovative and complex projects around "" data center"" applications (Relational databases with very high volumetrics, Big data, Monitoring Metrology, Analytics, etc.) You are involved in the design and implementation of technical solutions, in contexts with high level of service quality requirements (performance, resilience, service availability, etc.) and very high data volume You work in close proximity with other technical and application architects, with integrators, security managers, and Ops teams. Profile sought: With engineering training or equivalent, you have a solid experience in ESN, consulting firm or user company. You have already played a role as Technical Architect, or Senior Developer, in teams in charge of: From the implementation of projects to value the company's data: Ingestion of data sources, Construction of DataLake with the mastery of the data life cycle, Transformation and correlation, DataViz Application architecture, software design and development (especially in Java language) in multi-platform environments (on prem, cloud) Collaboration with Business Analysts or Data Scientists You want to value and develop your technical expertise and you have an appetite for: Technical challenges around performance requirements, availability, exploitability, etc. The implementation of industrialization solutions of technical stacks (CI CD, DevOps culture) Ideally: You have experience of the Hadoop ecosystem and Spark technologies, Kafka You have participated in the migration of applications to the Public Cloud (Azure, AWS or GCP) Beyond your technical expertise, your personality will make the difference: attraction for the intellectual challenge of complex technical issues, creativity and entrepreneurial spirit, curiosity, sense of collective and customer service, dynamic and active temperament."
Développeur Oracle APEX+ PL/SQL (Casablanca),Maroc,CASABLANCA,20/09/2021,Informatique,CDI,De 5 à 10 ans,Bac +5 et plus,"Profile sought: Diploma of Computer Engineer with 5 years of experience and more An experience in specific development is required on the mentioned tools (APEX+PL SQL) Good mastery of Oracle Apex, PL SQL, SGBD Oracle Ability to draft technical specifications Rigor in the tests Rigor of code quality Good communication Knowledge of the banking or risk management profession would be an asset Java knowledge would be appreciated"
SENIOR Account Manager Technique & Commercial (Expérience Banque obligatoire),Maroc,Casablanca,20/09/2021,Informatique,CDI,De 10 à 20 ans,Bac +5 et plus,"From a business school or engineering school Experience confirmed and successful in a similar function (10+ years) ideally in the banking sector (An experience in IT or possibly in an IT solution editor is a plus) Excellent relational qualities, negotiation, diplomacy and great adaptability English mastery is a major asset"
Directeur Informatique Technique senior SSII (Business Unit Finance)- CTO - Secteur bancaire/édition de logiciels - Delivery,Maroc,casablanca,20/09/2021,Informatique,CDI,De 10 à 20 ans,Bac +5 et plus,"So I'm looking for a Delivery Manager who has a lot of technical knowledge (who also has a bit of architecture) but also has a minimum experience of five years in the management of fairly large teams (at least 10 people). Experience in publishing and banking would be an important asset. Bac+ 5 or higher, from a large engineering school Management skills required:   A sense of responsibility and decision-making   To be able to propose solutions to the problems raised and to apply them autonomously   Very good written communication and strong oral ease   Management and coaching capacity of its employees Technical expertise required   Apache Hadoop ecosystem : HDFS, Hive, Sqoop, Yarn, Map Reduce   Knowledge of the framework spark (Java and or scala)   Dockers and Kubernetes   DWH, Datamart and Knowledge in Data Modelling   Software development experience with some of the following languages: Scala, Java (Java 8)   Microservices, springboot   Database: Mysql, Postresql, Oracle   DevOps environment: git, drive development test, CI CD   Good understanding of ETL, ELT, and scheduling concepts (oozie, airflow, spring cloud data flow or others)   Visualization Tool"
Chef de projet Marketing,Maroc,Casablanca,20/09/2021,Autres services,CDI,De 3 à 5 ans,Bac +5 et plus,"Holder of a Bac+5 in Marketing, you justify a minimum of 3 years experience in a similar position ideally in a large structure. You have a sense of communication, a relational and editorial ease and a sense of organization."
Cadre Ressources Humaines (H/F),Maroc,Rabat,20/09/2021,Enseignement / Formation,CDI,De 3 à 5 ans,Bac +5 et plus,"Technical expertise: Personal Suitability: Profile required: External applicants: OFPPT Agents: Candidature file: External applicants: Application form (F1) for information (PDF format), downloadable from www.ofppt.ma; Updated CV detailing the job experience related to the position (PDF format); Copy of the required diploma (diploma issued by foreign institutions must be accompanied by copies of certificates of equivalence) (PDF format); Copy of the CNI (Recto verso) in PDF format (One page only); OFPPT Agents: How to submit an application: Sign up and apply for the offer by sending the application file in PDF format to the offer on the site: http: recruitment.ofppt.ma; Deadline for receipt of applications is 28 September 2021 at midnight. NB: Any file transmitted via a channel other than that mentioned above will not be considered. Assignment: Successful candidates will be assigned according to need and according to the order of merit to: Casablanca – Rabat. Good control of the administrative management of permanent and individual staff; Mastery of the computer tool; Perfect communication in French and arable, both oral and written; Listen. Discretion; Strongness of negotiation; Availability. To hold a Master's degree, or equivalent, in the field of human resources management (Diploma giving access to scale 11 of the Public Service); To justify a cumulative professional experience of at least 2 years in human resources management; Have good editorial skills in French and Arabic; Have a good computer tool mastery; Be less than 45 years of age on the date of entry into service; Be of Moroccan nationality. To be a staff member at the OFPPT classified on a lower scale than that provided for recruitment to this post; To hold a Master's degree, or equivalent, in the field of human resources management (Diploma giving access to scale 11 of the Public Service); To justify a cumulative professional experience of at least 2 years in human resources management; Have good editorial skills in French and Arabic; Have a good computer tool mastery; Application form (F2) for information (PDF format), downloadable from www.ofppt.ma; Updated CV detailing the job experience related to the position (PDF format); Copy of the required diploma (diploma awarded by foreign institutions must be accompanied by copies of certificates of equivalence) (PDF format); Copy of the CNI (Recto-verso) in PDF format (One page only);"
Cadre Ressources Humaines (H/F),Maroc,Casablanca,20/09/2021,Enseignement / Formation,CDI,De 3 à 5 ans,Bac +5 et plus,"Technical expertise: Personal Suitability: Profile required: External applicants: OFPPT Agents: Candidature file: External applicants: Application form (F1) for information (PDF format), downloadable from www.ofppt.ma; Updated CV detailing the job experience related to the position (PDF format); Copy of the required diploma (diploma issued by foreign institutions must be accompanied by copies of certificates of equivalence) (PDF format); Copy of the CNI (Recto verso) in PDF format (One page only); OFPPT Agents: How to submit an application: Sign up and apply for the offer by sending the application file in PDF format to the offer on the site: http: recruitment.ofppt.ma; Deadline for receipt of applications is 28 September 2021 at midnight. NB: Any file transmitted via a channel other than that mentioned above will not be considered. Assignment: Successful candidates will be assigned according to need and according to the order of merit to: Casablanca – Rabat. Good control of the administrative management of permanent and individual staff; Mastery of the computer tool; Perfect communication in French and arable, both oral and written; Listen. Discretion; Strongness of negotiation; Availability. To hold a Master's degree, or equivalent, in the field of human resources management (Diploma giving access to scale 11 of the Public Service); To justify a cumulative professional experience of at least 2 years in human resources management; Have good editorial skills in French and Arabic; Have a good computer tool mastery; Be less than 45 years of age on the date of entry into service; Be of Moroccan nationality. To be a staff member at the OFPPT classified on a lower scale than that provided for recruitment to this post; To hold a Master's degree, or equivalent, in the field of human resources management (Diploma giving access to scale 11 of the Public Service); To justify a cumulative professional experience of at least 2 years in human resources management; Have good editorial skills in French and Arabic; Have a good computer tool mastery; Application form (F2) for information (PDF format), downloadable from www.ofppt.ma; Updated CV detailing the job experience related to the position (PDF format); Copy of the required diploma (diploma awarded by foreign institutions must be accompanied by copies of certificates of equivalence) (PDF format); Copy of the CNI (Recto-verso) in PDF format (One page only);"
Commercial Terrain  H/F,Maroc,Casablanca,20/09/2021,Edition / Imprimerie,CDI,De 5 à 10 ans,Bac +2,"As a commercial field H F, you must: Be graduated from a minimum Bac+2 Have a minimum of 5 years experience in a commercial field post Having a good communication in French Relationshipal sense To be field oriented Having a sense of listening and persuasiveness"
Consultant(e)s SAP FI-CO Anglophones H/F,Maroc,CASABLANCA,20/09/2021,Informatique,CDI,De 3 à 5 ans,Bac +5 et plus,"You are a graduate of a School of Commerce or Engineering or in Financial Management Information Systems; You benefit from 3 years of minimum experience in Consulting, Integration and deployment of SAP projects; You control the setting of one or more SAP modules: FI, CO; You have a relational ease and a sense of listening that allows you to evolve effectively in a variety of environments; A professional English language is needed to evolve in international environments;. Technical or functional knowledge of other SAP products will be added to your application; If you are a functional SAP consultant around the Finance and/or Management Control trades and want to take on new challenges... join us!"
Consultant(e)s SAP SD/MM Anglophones H/F,Maroc,CASABLANCA,20/09/2021,Informatique,CDI,De 3 à 5 ans,Bac +5 et plus,"Bac+5 training, you have a minimum of 3 years' experience on a job of the same size and have acquired expertise on SAP MM modules (stock management, purchases, etc.) and SD modules (sales flows, pricing, etc.); You have an operational level of English (international context) in view of the international dimension and scope of the Group's projects; You are also known for your editorial qualities, your ability to synthesize and your good communication; You have a good sense of customer service and are adaptable to all types of work environments; You are self-sufficient and have demonstrated your ability to work as a team. If you are a functional SAP consultant around the logistics trades and want to take on new challenges... join us!"
Cadre à la Direction Afrique et International  (H/F),Maroc,Casablanca,20/09/2021,Enseignement / Formation,CDI,De 5 à 10 ans,Bac +5 et plus,"External applicants: OFPPT Agents: Or Candidature file: External applicants: OFPPT Agents: How to submit an application: Sign up and apply for the offer by sending the application file in PDF format to the offer on the site: http: recruitment.ofppt.ma; Deadline for receipt of applications is 05 October 2021 at midnight. NB: Any file transmitted via a channel other than that mentioned above will not be considered. Assignment: Africa and International Division (Africa Division), headquarters of OFPPT, Casablanca. Be a graduate of an Engineer or a Bachelor's degree+5 in Engineering, Management, Management, or similar (diploma giving access to scale 11 of the Public Service); To justify a cumulative professional experience of at least 2 years, an experience in the field of international partnerships would be a plus; Knowledge in project management will be an asset; Have a good mastery of the English language; Be less than 45 years of age on the date of entry into service; Be of Moroccan nationality. To be a staff member at the OFPPT classified on a lower scale than that provided for recruitment to this post; To hold a degree from Engineer or a Bachelor's degree+5 in Engineering, Management, Management, or similar (diploma giving access to scale 11 of the Public Service) and justifying an experiment 2 years cumulative professional; Be classified at a minimum scale of 19 or by way of derogation from scale 16 with at least 4 years of effective service in category C; Have a good mastery of the English language. Application form (F1) for information (PDF format), downloadable from www.ofppt.ma; Updated CV detailing the job experience related to the position (PDF format); Copy of the required diploma (diploma awarded by foreign institutions must be accompanied by copies of certificates of equivalence) (PDF format); Copy of the CNI (Recto-verso) in PDF format (One page only); Application form (F2) for information (PDF format), downloadable from www.ofppt.ma; Updated CV detailing the job experience related to the position (PDF format); Copy of the required diploma (diploma awarded by foreign institutions must be accompanied by copies of certificates of equivalence) (PDF format); Copy of the CNI (Recto-verso) in PDF format (One page only);"
Technicien IT Support N1,Maroc,SALA AL JADIDA,20/09/2021,Informatique,CDI,Débutant,Bac +2,"Level of training: Bac+2 3 in Computer Networks. Level of professional experience: Experience in a similar position is highly desirable. Behavioural Skills: Customer Orientation & Service, Autonomy & ability to manage stress. Technical Skills: General skills on customer relationship management. Ability to detect, treat and resolve technical incidents Level 1. Windows 8 & 10. MS Office Pack, Outlook"
Ingénieur Etudes et Développement JAVA/JEE,Maroc,casablanca,20/09/2021,Informatique,CDI,De 3 à 5 ans,Bac +5 et plus,"You have a Bac+ 4 5 from a large engineering school or equivalent. You justify a minimum of 3 years' experience in a similar position by mastering one or more of the following technologies:   Spring   Hibernate   Webservice SOAP ( JAXB, CXF,WSDL,XSD )   CAMEL   MVC framework: Struts 2 or equivalent   HTML, CSS, Ajax, Javascript,Jquery;   Management of GIT or Subversion versions;   Unit tests and TDDs (Test Driven Development);   SQL; Oracle or DB2 is an asset   Operating system: Windows, Linux;   Agile methodology (Scrum);   Design patterns;   UML  If you think you're meeting these criteria, don't hesitate anymore the job is for you."
Consultant(e)s SAP MRP/WM H/F,Maroc,CASABLANCA,20/09/2021,Informatique,CDI,De 3 à 5 ans,Bac +5 et plus,"Bac+5 training You have a minimum of 3 years experience in the implementation (design and setting) of SAP's WM MRP modules and if possible other SAP modules. You are also known for your editorial qualities, your ability to synthesize and your good communication; You have a good sense of customer service and are adaptable to all types of work environments; You are self-sufficient and have demonstrated your ability to work as a team. If you are a functional SAP consultant around the supply chain trades and want to take on new challenges... join us!"
Techniciens SUPPORT FAI,Maroc,Fès,20/09/2021,Centre d'appel,Autre,Débutant,Bac +2,"Bac+2 and more training in networks and telecoms or in computer development or any equivalent degree. You have a perfect mastery of the French language. You have a sense of service. You like to work as a team in a young and motivated environment. Are you looking for an initial experience within a large structure that offers real prospects for evolution? Do not hesitate to send us your CV, the posts are to be filled immediately."
Business Analyst Mainframe H/F,Maroc,CASABLANCA,20/09/2021,Informatique,CDI,De 3 à 5 ans,Bac +5 et plus,"Bac+5 training, you justify at least 2 years of experience in a similar position;   You made your first weapons in mainframe development before moving towards functional;   You master Jira and you know how to handle requests (e.g. SQL) to investigate incidents;   You have a very good level of English (written and oral);   You want to deepen your functional skills in the automotive industry Finally, You are known for your sense of relationship, your spirit of analysis and that you like projects with high added value, this position is made for you!"
Consultant(e)s SAP WM/HUM,Maroc,CASABLANCA,20/09/2021,Informatique,CDI,De 3 à 5 ans,Bac +5 et plus,"Bac+5 training You have a minimum of 3 years experience in the implementation (design and setting) of SAP's WM HUM modules and if possible other SAP modules. You are also known for your editorial qualities, your ability to synthesize and your good communication; You have a good sense of customer service and are adaptable to all types of work environments; You are self-sufficient and have demonstrated your ability to work as a team. If you are a functional SAP consultant around the logistics trades and want to take on new challenges... join us!"
Directeur de projet SAP H/F,Maroc,CASABLANCA,20/09/2021,Informatique,CDI,De 5 à 10 ans,Bac +5 et plus,"With advanced training in computer science, engineering or equivalent, you justify an experience of more than 5 years in SAP (Logistics and Finance) project management;   You have a good vision through business processes and have acquired a good knowledge of all the functional modules of SAP and their integration (SD MM WM FI CO);   You know how to structure, plan and manage a SAP project on all its dimensions including organizational change management, solution, technology and data migration;   You show leadership, you are a force of proposal and are recognized by your negotiating and customer relationship qualities;   Team spirit and sense of service are important to you;   An offshore or international experience would be a real plus."
Ingénieur Logiciel DevOps,Maroc,Casablanca,20/09/2021,Informatique,CDI,De 3 à 5 ans,Bac +5 et plus,"Computer engineer with the following knowledge: a mastery of software development of a corporate SI (Front & Back Office, Api and underlying technology) on cloud environment, practical knowledge of Agile and Cloud development methodologies (12 factors App), advanced knowledge of continuous development and deployment."
Solution Sales Specialist,Maroc,Rabat,20/09/2021,Offshoring / Nearshoring,Autre,De 1 à 3 ans,Bac +4,"Skills Needed  4 year degree preferred  2 6+ years of technology related sales or business development experience; Experience working within a technical sales environment preferred.  Broad knowledge of and ability to explain key end user scenarios and technical architecture for productivity and communications solutions required  Demonstrated knowledge of identity, authentication, security, privacy, and compliance and how they factor into cloud and hybrid solutions preferred  Understanding cloud deployment and adoption planning  Experience with cloud based productivity, collaboration and communications solution designs, migrations and management of technology  An understanding and passion for cloud computing technologies, business drivers, and emerging computing trends  Major or minor in computer science, maths or engineering. Experience in one of these reporting fields is a bonus: computer science, maths or engineering.  Proven track record of outstanding performance and achieving goals  Take initiatives to independently grow technical knowledge  Exceptional interpersonal as well as verbal and writing communication skills to succeed in a customer character role  Ability to explain complex technical solutions to technical and non-technical audiences and to connect technological solutions with measurable business value  Success drive, works well in a diverse team and enjoys a dynamic and changing environment  Passion for cloud technologies and changing the world  Language skills:  English: Intermediate or Fluent (verbal and written)  Supported market: Fluent or Native (verbal and written)"
Conseillers Clients avec Connaissances en Comptabilité,Maroc,Rabat,20/09/2021,Comptabilité / Audit,Autre,Débutant,Bac +2,"Profile sought:   You're a technophile.   You have a baccalaureate+2   You're mastering French in both writing and speaking.   You have knowledge of accounting and management   You have the taste of contact   You have control of the Office 365   The mastery of Sage software is desired   Knowledge of SQL and Windows client and server environment A first experience in call centres is highly desired #PeopleFirstCompany Joining webhelp is being part of a team of passionate women, a unique and enjoyable working environment @Webhelp We #ThinkHuman The rise of our agents is a real commitment to Webhelp. The majority of our managers are from internal promotion. Join Us!"
Conseillers Commerciaux - Secteur des Télécoms,Maroc,Salé,20/09/2021,Centre d'appel,Autre,Débutant,Bac,"Do sales techniques have no secrets for you? Do you like challenges and enjoy surpassing yourself? Are you dynamic and recognized for your good relationship? Come and learn, grow and contribute to the success of the teams by taking advantage of your commercial sense and enthusiasm! Advantage: We offer you an attractive remuneration including an unlimited monthly premium and an appropriate training to support you in the success of your mission!"
Conseillers Commerciaux - Secteur des Télécoms,Maroc,Fès,20/09/2021,Centre d'appel,Autre,Débutant,Bac,"  Do sales techniques have no secrets for you?   Do you like challenges and enjoy surpassing yourself?   Are you dynamic and recognized for your good relationship? Come and learn, grow and contribute to the success of the teams by taking advantage of your commercial sense and enthusiasm!"
Conseiller Commerciaux – Secteur du Tourisme à Marrakech,Maroc,Marrakech,20/09/2021,Centre d'appel,Autre,Débutant,Bac,"Advanced training ideally in tourism Do sales techniques have no secrets for you? Do you have a taste for the challenge and appreciate yourself surpassing yourself? You're dynamic and you have a perfect command of French? Knowledge of the Amadeus tool is desirable Learning and developing a career while being fulfilled is our priority. #WebhelpSpirit You will be trained and accompanied step by step in the field to succeed in your quest for professional success. Join us and contribute to your success and that of @Webhelp teams by taking advantage of your passion. If you live travel and breathe travel, Work Travel!"
Chef de Projets IT Junior,Maroc,Rabat,20/09/2021,Offshoring / Nearshoring,CDI,De 1 à 3 ans,Bac +5 et plus,"Profile sought: Higher education in IT: You justify from one year to two years of experience in a similar position You have mastered project engineering You have a very good knowledge of computing and telecoms, including network management (Windows server administration,telephony, VPN, secure, routing, wifi...) You also have knowledge of the legal and regulatory context in the field of informatics and telecommunications. You are methodical and organized Rigor and autonomy are key assets for the success of your mission You have an excellent mastery of French in oral and written, especially for the writing of summary notes and project reporting You have an excellent mastery of English in oral and writing, especially for the writing of summary notes and project reporting Knowledge of universal project management methodologies is very desired"
Conseillers Clients Franco Hispanophones,Maroc,Marrakech,20/09/2021,Centre d'appel,Autre,Débutant,Bac,"Do you master French and Spanish in writing and oral? Be the next Webhelper! Join Webhelp, a #PeopleFirstCompany that puts its employees at the heart of its business. You master French and Spanish in both writing and speaking You have the taste of contact You are proactive, autonomous and rigorous You're comfortable with the computer and internet tool  Come and learn, grow and contribute to the success of the teams by taking advantage of your sense of service!"
Formateur sénior Franco Anglophone avec Connaissances Amadeus,Maroc,Marrakech,20/09/2021,Centre d'appel,CDI,De 1 à 3 ans,Bac +2,"Profile sought:   You justify a successful experience of at least 3 years in a similar position, sector of the offshoring or more overall services   You are charismatic, you have a relational ease, a sense of adaptation and a positive attitude.   You have organizational common sense You have an experience in GDS tools including Amadeus   You have a good communication skills   You have a very good level of French and English and a very good speech as well as real pedagogical qualities.   You have mastered the computer tool (Word, Power Point and Excel) is essential"
Conseiller Client en Énergie - Weekend OFF -,Maroc,Rabat,20/09/2021,Centre d'appel,Autre,Débutant,Bac,"Profile sought:   Perfect mastery of the French language in oral and written form with a good editorial level   Good relationship, empathy and listening   Ability to work as a team. A first experience in call centres is highly desired #PeopleFirstCompany Joining webhelp is being part of a team of passionate women, a unique and enjoyable working environment @Webhelp We #ThinkHuman The rise of our agents is a real commitment to Webhelp. The majority of our managers are from internal promotion. Join Us!"
Conseillers Clients Hispanophones - Secteur Travel -,Maroc,Agadir,20/09/2021,Centre d'appel,Autre,Débutant,Bac,"Do you want to join a company of more than 10,000 employees? Do you want to develop an initial experience in travel tourism and make a career in this growing sector? Do you want to work in a young and dynamic environment? This job is for you! Description of position: Rigorous and passionate about travel, you will have the mission of advising and helping customers to choose their destinations based on your know-how. Apply and join us for an extraordinary professional adventure!"
Conseillers Clients Italophones- Secteur Travel -,Maroc,Agadir,20/09/2021,Centre d'appel,Autre,Débutant,Bac,Profile You have a commercial appetite. You master Italian in oral and written form You have an intermediate level in French You are driven by the taste of service and customer satisfaction You are tenacious and persevering The mastery of the Amadeus tool is a plus Benefits We offer you: Attractive remuneration including a monthly bonus and an interesting language bonus An adapted training to accompany you in the success of your mission And pleasant working conditions
Contrôleur Qualité IT,Maroc,Rabat,20/09/2021,Informatique,Autre,Débutant,Bac +2,"  Profile required: o Bac+2, Bac+3 in Computer Science o English-speaking Franco (French more important than English). Level B2 required o Spirit of Analysis o Sense of detail o Relationship qualities o PI, position does not require technical expertise Anapec contract"
Conseillers Commerciaux,Maroc,Kénitra,20/09/2021,Centre d'appel,Autre,Moins de 1 an,Bac,"Do sales techniques have no secrets for you? Do you like challenges and enjoy surpassing yourself? Are you dynamic and recognized for your good relationship?  Come and learn, grow and contribute to the success of the teams by taking advantage of your commercial sense and enthusiasm!"
Administrateur Système,Maroc,Casablanca,20/09/2021,Informatique,CDI,De 3 à 5 ans,Bac +5 et plus,"Competencies and Qualifications: Techniques: The technical skills required are: Linux and Windows operating system Infrastructural output: o Web (Apache, Tomcat...) o Mail (SendMail...) The following knowledge would be added: AIX, HP UX and Solaris operating system Infrastructure products: o Orderer (DollarU, OneAutomation...) o Exchanges (CFT, MQSeries...) o Safeguards o Supervision Principles of computer security. Principles of storage systems. Virtualization solutions and technologies. Operating method. Behaviours: Relationship strength Quality of reporting and communication Being rigorous and reliable, having a sense of planning To be proactive Ability to work on a transverse basis Be oriented customer service and quality of service To be a force of proposal Knowledge of pedagogy and ability to transmit"
Responsable Import / Export (H/F),Maroc,Casablanca,20/09/2021,Import / Export / Négoce,CDI,De 3 à 5 ans,Bac +5 et plus,"Profile sought: Bac+ 5 training in logistics, transport or equivalent; A minimum of 4 years' experience in a similar position; A good speech in French; A common sense of relationship. Prerequisite: Mastering of Moroccan accounting standards; Knowledge of the regulation of international trade; Knowledge of Moroccan taxation; Mastery of incoterms; Mastery Software SAGE"
Conseillers en réception d'appel (Opérateur Français) (Prime de vente déplafonnée),Maroc,Rabat,20/09/2021,Centre d'appel,CDI,De 1 à 3 ans,Bac +2,"Very good hourly flexibility to work 44 hours per week per rotation; An excellent linguistic level in French in both oral and written terms; A first experience REQUIRED as a technical advisor; Technical training (Informatique, Réseaux,...); An ability to work independently and as a group; Availability 5 days 7 ; A common sense of detail; Good communication and good commercial fibre; A very good speech; Technical skills"
MON - Senior Account Manager -CDI-,Maroc,Casablanca,20/09/2021,Banque / Finance,CDI,De 5 à 10 ans,Bac +5 et plus,Minimum experience of 5 years Monetic experience is highly desirable A good ability to withstand pressure (time limits are sometimes very short). Oral and written attendance in English
